"","name","distance","lat","long"
"1","20th & Bell St",5.81532020116107,38.8561,-77.0512
"2","18th & Eads St.",5.73315341140514,38.85725,-77.05332
"3","20th & Crystal Dr",5.74816213974298,38.8564,-77.0492
"4","15th & Crystal Dr",5.34366000244004,38.86017,-77.049593
"5","Aurora Hills Community Ctr/18th & Hayes St",5.82375928363454,38.857866,-77.05949
"6","Pentagon City Metro / 12th & S Hayes St",5.37576327325829,38.862303,-77.059936
"7","S Joyce & Army Navy Dr",5.34955704851622,38.8637,-77.0633
"8","Crystal City Metro / 18th & Bell St",5.68313429625596,38.8573,-77.0511
"9","12th & Army Navy Dr",5.1145701272147,38.8629,-77.0528
"10","27th & Crystal Dr",6.65507626393363,38.848441,-77.051516
"11","S Glebe & Potomac Ave",7.2748776806836,38.8426,-77.0502
"12","23rd & Crystal Dr",6.09653939810155,38.8533,-77.0498
"13","26th & S Clark St",6.41001846371438,38.850688,-77.05152
"14","19th St & Pennsylvania Ave NW",0.926404855851932,38.9003,-77.0429
"15","14th & V St NW",1.22873959970591,38.9176,-77.0321
"16","11th & Kenyon St NW",2.59723503078968,38.929464,-77.027822
"17","16th & Harvard St NW",2.10048586267629,38.926088,-77.036536
"18","Adams Mill & Columbia Rd NW",1.81630823502572,38.922925,-77.042581
"19","14th & Harvard St NW",2.21702907371749,38.9268,-77.0322
"20","Calvert & Biltmore St NW",2.00733420040428,38.923203,-77.047637
"21","Lamont & Mt Pleasant NW",2.75142906230224,38.9319,-77.0388
"22","4th & M St SW",3.77285513397198,38.8767,-77.0178
"23","15th & P St NW",0.363605831789322,38.90985,-77.034438
"24","14th & R St NW",0.758612776912946,38.912682,-77.031681
"25","14th & Rhode Island Ave NW",0.427384532984964,38.9086,-77.0323
"26","20th & E St NW",1.40010949979348,38.8963,-77.045
"27","21st & I St NW",1.12706170613,38.9008,-77.047
"28","Georgia & New Hampshire Ave NW",3.37777415075048,38.936043,-77.024649
"29","14th St & Spring Rd NW",3.38782452655006,38.9375,-77.0328
"30","John McCormack Dr & Michigan Ave NE",4.70215185207506,38.9346,-76.9955
"31","5th & K St NW",1.61425392089169,38.90304,-77.019027
"32","19th & East Capitol St SE",5.54888617437292,38.8896,-76.9769
"33","Park Rd & Holmead Pl NW",2.66546013107764,38.9308,-77.0315
"34","Good Hope & Naylor Rd SE",7.98912660705216,38.8601,-76.9672
"35","Connecticut Ave & Newark St NW / Cleveland Park",3.5190617043293,38.934267,-77.057979
"36","Randle Circle & Minnesota Ave SE",7.35074574745017,38.878,-76.9607
"37","Minnesota Ave Metro/DOES",7.8224574719683,38.897063,-76.947446
"38","Nannie Helen Burroughs & Minnesota Ave NE",8.24786277365482,38.901385,-76.941877
"39","Anacostia Metro",6.15630333590496,38.862669,-76.994637
"40","Good Hope Rd & MLK Ave SE",6.12346358721435,38.867373,-76.988039
"41","19th & E Street NW",1.45485831456411,38.8952,-77.0436
"42","4th & W St NE",3.40324531847904,38.919077,-77.000648
"43","10th & U St NW",1.46363937605263,38.9172,-77.0259
"44","Georgia Ave and Fairmont St NW",2.34330853338751,38.9249,-77.0222
"45","1st & N St  SE",4.54696103389281,38.8743,-77.0057
"46","20th St & Florida Ave NW",1.12926259676296,38.9154,-77.0446
"47","7th & T St NW",1.57145517650322,38.9155,-77.0222
"48","23rd & Eads St",6.13845473544471,38.853531,-77.053509
"49","M St & New Jersey Ave SE",4.47903100827052,38.8763,-77.0037
"50","Massachusetts Ave & Dupont Circle NW",0.724648125450387,38.9101,-77.0444
"51","1st & M St NE",2.71348337179999,38.9057,-77.0056
"52","21st & M St NW",0.879064343290518,38.90534,-77.046774
"53","17th & K St NW",0.515901714002653,38.90276,-77.03863
"54","3rd & H St NW",2.06102329664831,38.899408,-77.015289
"55","3rd & D St SE",3.87361278363292,38.8851,-77.0023
"56","Potomac & Pennsylvania Ave SE",5.31033846630766,38.8803,-76.9862
"57","14th & D St SE",5.09732656702689,38.884,-76.9861
"58","17th & Corcoran St NW",0.566677676358832,38.9121,-77.0387
"59","Van Ness Metro / UDC",4.76476748094357,38.944551,-77.063896
"60","Florida Ave & R St NW",2.11183734283709,38.9126,-77.0135
"61","8th & Eye St SE / Barracks Row",4.7597868426165,38.8792,-76.9953
"62","Ward Circle / American University",5.58652740207471,38.938736,-77.087171
"63","Idaho Ave & Newark St NW [on 2nd District patio]",4.47760480250842,38.934751,-77.074647
"64","14th St Heights / 14th & Crittenden St NW",4.52541992511407,38.947774,-77.032818
"65","Anacostia Library",6.84440807084109,38.865784,-76.9784
"66","Pennsylvania & Minnesota Ave SE",6.85050504339005,38.873057,-76.971015
"67","Eastern Market / 7th & North Carolina Ave SE",4.13621424659491,38.886952,-76.996806
"68","14th St & New York Ave NW",0.954843040195244,38.899632,-77.031686
"69","Benning Branch Library",7.83402468689888,38.894,-76.947974
"70","USDA / 12th & Independence Ave SW",2.34327032331783,38.887237,-77.028226
"71","Georgetown Harbor / 30th St NW",2.00906717728637,38.9022212,-77.059219
"72","12th & Newton St NE",4.94154449573515,38.933668,-76.991016
"73","US Dept of State / Virginia Ave & 21st St NW",1.60234703329553,38.894919,-77.046587
"74","L'Enfant Plaza / 7th & C St SW",2.65099728224488,38.886266,-77.022241
"75","10th St & Constitution Ave NW",1.83600488787983,38.893028,-77.026013
"76","Kennedy Center",2.04856831730581,38.895184,-77.054845
"77","Eastern Market Metro / Pennsylvania Ave & 7th St SE",4.42217918816283,38.884,-76.995397
"78","18th & M St NW",0.490428519001813,38.904742,-77.041606
"79","Tenleytown / Wisconsin Ave & Albemarle St NW",5.80447419913298,38.947607,-77.079382
"80","13th & H St NE",4.28338920179516,38.9003,-76.9882
"81","5th & F St NW",1.88099677789488,38.897222,-77.019347
"82","New York Ave & 15th St NW",0.942283894519507,38.8991,-77.0337
"83","Convention Center / 7th & M St NW",1.27708351853733,38.90572,-77.022264
"84","Harvard St & Adams Mill Rd NW",2.36554948326823,38.927872,-77.043358
"85","19th & L St NW",0.720298314339495,38.903407,-77.043648
"86","C & O Canal & Wisconsin Ave NW",2.26434218568791,38.90375,-77.06269
"87","6th & Water St SW / SW Waterfront",3.64610415961908,38.87675,-77.02127
"88","D St & Maryland Ave NE",3.71047246127811,38.894758,-76.997114
"89","34th St & Wisconsin Ave NW",2.89657636072199,38.916442,-77.0682
"90","13th St & New York Ave NW",0.983205995263288,38.900283,-77.029822
"91","8th & H St NW",1.45752442737563,38.8997,-77.023086
"92","10th & Monroe St NE",4.73498640644464,38.932514,-76.992889
"93","Eckington Pl & Q St NE",2.79613000553943,38.910972,-77.00495
"94","6th & H St NE",3.43152937609487,38.899972,-76.998347
"95","3rd & H St NE",3.11714522653729,38.900412,-77.001949
"96","Bladensburg Rd & Benning Rd NE",4.73567340754019,38.900413,-76.982872
"97","4th & East Capitol St NE",3.69891992113268,38.889955,-77.000349
"98","Lincoln Park / 13th & East Capitol St NE ",4.59486094831219,38.890461,-76.988355
"99","Branch & Pennsylvania Ave SE",7.89105292975751,38.8692,-76.9599
"100","13th & D St NE",4.47966762967065,38.894832,-76.987633
"101","New Hampshire Ave & T St NW",0.933955304232103,38.91554,-77.03818
"102","Metro Center / 12th & G St NW",1.25541101488162,38.898364,-77.027869
"103","14th & D St NW / Ronald Reagan Building",1.48285127985544,38.894514,-77.031617
"104","7th & F St NW / National Portrait Gallery",1.67251876679233,38.897324,-77.022322
"105","17th & K St NW / Farragut Square",0.584528594260812,38.902061,-77.038322
"106","20th & O St NW / Dupont South",0.707699043655577,38.908905,-77.04478
"107","4th & D St NW / Judiciary Square",2.23066550701089,38.895344,-77.016106
"108","19th St & Constitution Ave NW",1.75532515487228,38.8923,-77.0436
"109","37th & O St NW / Georgetown University",3.00760607507463,38.90774,-77.071652
"110","11th & H St NE",4.0196125267114,38.899983,-76.991383
"111","25th St & Pennsylvania Ave NW",1.48330074253625,38.903827,-77.053485
"112","Columbus Circle / Union Station",2.99165458934984,38.89696,-77.00493
"113","North Capitol St & F St NW",2.57682586409335,38.897446,-77.009888
"114","11th & M St NW",0.863152407084403,38.905607,-77.027137
